year,season,Date,n_windows,p_cells_w_windows,decision,NOPS_PL,county,n_spatial_cells,bd_sens_min,sens_5percent,sens_10percent,sens_20percent,sens_25percent
2018,winter,2018-02-01,715,0.548733691481197,NB,1,Plumas,1303,1,1,1,1,1
2018,winter,2018-02-02,625,0.479662317728319,NB,1,Plumas,1303,1,1,1,1,1
2018,winter,2018-02-03,630,0.483499616270146,NB,1,Plumas,1303,1,1,1,1,1
2018,winter,2018-02-04,597,0.458173445894091,NB,1,Plumas,1303,1,1,1,1,1
2018,winter,2018-02-05,282,0.216423637759018,B,1,Plumas,1303,1,1,1,1,0
2018,winter,2018-02-06,47,0.0360706062931696,B,1,Plumas,1303,1,0,0,0,0
2018,winter,2018-02-07,70,0.0537221795855718,NB,1,Plumas,1303,1,1,0,0,0
2018,winter,2018-02-08,106,0.0813507290867229,NB,1,Plumas,1303,1,1,0,0,0
2018,winter,2018-02-09,61,0.046815042210284,B,1,Plumas,1303,1,0,0,0,0
2018,winter,2018-02-10,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,winter,2018-02-11,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,winter,2018-02-12,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,winter,2018-02-13,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,winter,2018-02-14,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,winter,2018-02-15,0,0,B,1,Plumas,1303,0,0,0,0,0
